time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1656331290,c06973,43.93409729003906,-80.29012990552326,51.075248069819025,26.306963825741803,0.65024,CGNYG   ,False,False,False,1200,876.3000000000001,868.6800000000001,1656331288.46,1656331288.642
1656331290,c1e7e7,43.66703796386719,-79.62301387343297,,,,,True,False,False,,,,1656331280.753,1656331280.753
1656331290,c08048,43.55181884765625,-79.65107052825215,163.57215991846329,120.84014123409446,13.004800000000001,HRT119  ,False,False,False,6320,1828.8000000000002,1859.2800000000002,1656331289.729,1656331289.982
1656331290,c07eda,43.87605285644531,-79.72254553506536,150.88038259833664,92.54046740461035,-7.152640000000001,WJA520  ,False,False,False,7165,2270.76,2293.6200000000003,1656331289.857,1656331289.974
1656331290,c066f4,43.68161734888109,-79.61554936000277,,,,ACA402  ,True,False,False,2214,,,1656331288.691,1656331288.691
1656331290,c0371f,43.587279238943324,-79.8571341378348,139.1948956644839,333.90845688165695,18.20672,WJA701  ,False,False,False,2244,3009.9,3032.76,1656331289.973,1656331289.999
1656331290,c05bd5,43.679386138916016,-79.62071440940679,,,,ACA604  ,True,False,False,,,,1656331289.452,1656331289.452
1656331290,c060b3,43.36244201660156,-79.12283254224201,121.57107416692476,339.954750574579,-4.8768,POE118  ,False,False,False,4361,1607.8200000000002,1623.0600000000002,1656331289.902,1656331289.984
1656331290,a162fc,43.71977233886719,-79.10584205804867,223.02497255456734,46.02803578982402,-12.029440000000001,N189K   ,False,False,False,6640,4457.7,4503.42,1656331289.982,1656331289.982
1656331290,c063c3,43.71711343021716,-80.17560686383928,92.12139385547191,178.39997528485225,-2.27584,CGLUG   ,False,False,False,0654,1196.3400000000001,1188.7200000000003,1656331289.955,1656331289.973
1656331290,aa395b,43.09377896583686,-79.17506626674106,194.8771997329542,297.1738382015974,0.32512,SKW3017 ,False,False,False,1150,10972.800000000001,11346.18,1656331289.613,1656331289.967
1656331290,c1e865,43.69650650024414,-79.6360601380814,,,,SAF208  ,True,False,False,,,,1656331288.918,1656331288.918
1656331290,c01e28,43.71999966896186,-79.59745134626115,76.0699003289648,226.91828032514684,-4.22656,ACA401  ,False,False,False,1076,373.38,373.38,1656331289.901,1656331289.998
1656331290,78149e,43.678504943847656,-79.65370533078215,50.948140167879416,226.63657704161673,0.0,CSN5051 ,True,False,False,4153,144.78,,1656331284.973,1656331289.672
1656331290,c1e95a,43.68830108642578,-79.62239110192587,,,,SWP269  ,True,False,False,,,,1656331283.639,1656331283.639
1656331290,c038ac,43.67961502075195,-79.61787201637446,,,,ACA185  ,True,False,False,,,,1656331284.801,1656331284.801
1656331290,c1e847,43.65931882696636,-79.61723327636719,,,,,True,False,False,,,,1656331289.552,1656331289.552
1656331290,c1e805,43.67408752441406,-79.65879928234011,,,,MTC27   ,True,False,False,,,,1656331289.104,1656331289.104
1656331290,c04167,43.94572448730469,-79.50332996457121,91.7413914859758,317.27244973278295,4.8768,CFYTY   ,False,False,False,6353,5562.6,5661.660000000001,1656331289.903,1656331289.999
1656331290,c0636a,43.63801574707031,-79.35948571493458,56.413188753698364,260.02228737984944,-2.9260800000000002,POE532  ,False,False,False,5537,228.60000000000002,220.98000000000002,1656331289.845,1656331289.845
1656331290,a3183d,43.27063091730667,-78.84233747209822,266.785718263402,100.44319406349696,0.32512,EDV5130 ,False,False,False,6257,10668.0,11056.62,1656331289.673,1656331289.916
1656331290,c040c5,43.67365691621425,-79.6084213256836,,,,ROU1790 ,True,False,False,2231,,,1656331289.694,1656331289.694
1656331290,a73db7,43.13726806640625,-79.6671667764353,123.81332274869965,274.289153328819,0.0,N566FF  ,False,False,False,3413,9144.0,9441.18,1656331289.795,1656331289.982
1656331290,c1e7e3,43.66832668498411,-79.60408891950334,,,,RED3    ,True,False,False,,,,1656331285.482,1656331285.482
1656331300,c1e7e3,43.66832668498411,-79.60408891950334,,,,RED3    ,True,False,False,,,,1656331285.482,1656331285.482
1656331300,c07eda,43.875391038797666,-79.70378330775668,149.9019550553668,92.95077910900635,-7.80288,WJA520  ,False,False,False,7165,2194.56,2209.7999999999997,1656331299.956,1656331299.966
1656331300,c066f4,43.68161734888109,-79.61554936000277,,,,ACA402  ,True,False,False,2214,,,1656331288.691,1656331288.691
1656331300,c082c8,43.694768356064614,-79.63799612862726,0.0,0.0,0.0,RAG200  ,False,False,False,6337,144.78,137.16,1656331299.679,1656331299.909
1656331300,c06973,43.93409729003906,-80.29012990552326,51.30531209715672,26.8219812015815,0.65024,CGNYG   ,False,False,False,1200,876.3000000000001,876.3000000000001,1656331288.46,1656331290.599
